Region,CBSA Code,Pop Density,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CA-San Diego Suburban,41740,735.8,"1,158,861","1,131,580","1,126,344","1,123,927","1,139,889","1,145,883","1,170,788","1,220,537","1,265,969","1,308,725","1,323,166","1,349,524","1,369,228","1,382,273","1,408,922","1,425,706","1,436,821","1,446,347","1,452,608","1,408,347","1,352,266","1,367,250","1,399,879","1,422,492","1,444,464","1,474,351","1,496,954","1,521,190"
CA-San Diego Urban,41740, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
FL-Tampa Bay,45300,"1,385.05","973,284","958,748","969,328","1,000,138","1,051,366","1,077,215","1,094,151","1,136,817","1,177,731","1,211,316","1,159,034","1,162,603","1,151,758","1,161,021","1,204,541","1,208,734","1,241,019","1,243,766","1,218,319","1,152,898","1,231,313","1,259,341","1,294,705","1,321,939","1,348,427","1,365,002","1,407,471","1,451,732"
FL-Tampa Bay Suburban,45300,493.9,"136,475","135,445","137,523","143,702","153,485","158,953","164,311","171,528","178,938","185,150","192,070","195,574","197,295","203,436","217,206","224,169","236,990","241,610","240,051","226,072","240,057","242,272","249,105","254,481","259,962","264,018","272,285","283,599"
FL-Tampa Bay Urban,45300,"2,276.20","836,809","823,303","831,805","856,436","897,881","918,262","929,840","965,289","998,793","1,026,166","966,964","967,029","954,463","957,585","987,335","984,565","1,004,029","1,002,156","978,268","926,826","991,256","1,017,069","1,045,600","1,067,458","1,088,465","1,100,984","1,135,186","1,168,133"
CO-Denver,19740,"1,035.60","896,386","909,861","926,333","971,460","1,029,919","1,071,797","1,078,511","1,120,107","1,167,359","1,193,043","1,208,565","1,194,312","1,182,874","1,203,957","1,227,451","1,246,648","1,280,204","1,307,213","1,324,496","1,288,463","1,299,725","1,312,331","1,336,233","1,371,547","1,420,231","1,454,044","1,493,040","1,546,996"
CO-Denver Suburban,19740,203.17,"364,945","373,070","381,242","399,817","425,257","443,356","446,136","462,513","483,895","494,647","485,213","480,447","479,566","490,237","501,637","511,826","527,234","534,122","541,391","528,038","529,253","534,332","543,470","557,526","577,736","590,966","607,095","628,076"
CO-Denver Urban,19740,"2,284.25","531,441","536,791","545,091","571,643","604,662","628,441","632,375","657,594","683,464","698,396","723,352","713,865","703,308","713,720","725,814","734,822","752,970","773,091","783,105","760,425","770,472","777,999","792,763","814,021","842,495","863,078","885,945","918,920"
MO-St Louis,41180,"1,009.92","1,255,691","1,244,160","1,240,362","1,246,080","1,285,016","1,316,582","1,333,678","1,327,574","1,326,241","1,331,314","1,360,090","1,356,494","1,351,054","1,346,109","1,338,474","1,347,532","1,365,794","1,364,045","1,339,194","1,289,783","1,336,380","1,350,238","1,349,301","1,344,283","1,369,235","1,400,682","1,414,425","1,403,804"
MO-St Louis Suburban,41180,275.73,"429,406","423,683","426,487","432,384","443,745","454,957","466,695","476,143","480,132","486,670","500,500","498,668","498,529","500,286","504,630","519,073","534,577","540,225","532,529","512,164","533,612","539,029","536,802","533,673","544,428","557,043","563,367","564,770"
