Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
VA-Virginia Beach Suburban,36.8529,-75.978,47260,398.92,3.86,2.25,2.18,3.68,3.77,2.23,3.69,3.47,1.73,-5.81,3.04,2.35,2.27,2.65,4.27,3.47,0.93,1.23,-3.88,-1.18,1.15,0.62,1.29,1.57,-0.07,0.5,2.88
RI-Providence Suburban,41.824,-71.4128,39300,842.3,-3.47,1.86,0.62,-0.33,0.58,2.56,3.36,1.47,2.34,0.93,-0.45,0.61,1.39,-0.4,1.39,1.09,0.26,-3.34,-3.88,-1.89,-1.35,0.16,0.97,1.17,1.29,0.35,1.26
WI-Milwaukee Suburban,43.0389,-87.9065,33340,603.83,0.29,4.23,3.58,4.05,3.87,3.16,1.98,1.13,0.96,-2.6,-0.17,-0.82,0.43,0.62,0.34,2.21,-1.07,0.29,-4.28,2,0.9,0.6,0.94,1.86,1.08,1.05,2.2
FL-Jacksonville Suburban,30.3322,-81.6557,27260,307.1,1.41,2.19,4.47,6.85,5.36,2.7,3.81,4.74,3.84,2.12,2.13,0.43,2.71,5.66,7.8,6.22,2.72,1.19,-4.27,0.92,2.27,2.79,3.06,2.77,2.17,2.74,5.59
OK-Oklahoma City Suburban,35.4676,-97.5164,36420,180.3,-1.63,1.44,2.32,2.05,3.42,3.06,1.79,1.51,2.78,1.83,1.19,0.25,-0.74,2.34,1.79,-0.11,-1.17,1.79,-0.96,10.63,2.26,2.8,0.81,0.21,3.07,-0.22,1.49
TN-Memphis Suburban,35.1495,-90.049,32820,153.74,-1.62,0.95,3.94,5.25,4.33,3.71,4.04,2.95,2.43,5.43,0.17,-0.22,2.65,2.26,2.59,2.42,2.63,0.15,-5.67,4.67,2.73,-0.22,-2.39,0.27,3.8,2.26,1.89
NC-Raleigh Suburban,35.7796,-78.6382,39580,213.4,1.59,3.17,2.48,3.26,4.06,7.4,5.71,4.26,4.36,2.34,1.21,-1.1,2.45,2.66,3.03,5.09,1.19,1.92,-3.64,4.06,1.41,2.49,2.33,3.26,3.35,4.03,3.66
KY-Louisville Suburban,38.2527,-85.7585,31140,395.71,-0.15,3,4.65,4.91,2.94,1.28,2.89,2.3,2.44,-0.5,-1.45,-0.69,0.98,0.58,1.98,3.54,0.27,-0.07,-3.78,-1.18,0.7,1.39,2.06,2.2,2.24,3.01,2.03
VA-Richmond Suburban,37.5407,-77.436,40060,162.34,2.36,2.57,0.6,4.09,2.22,-0.24,2.21,3.31,2.54,0.99,1.04,1.24,1.56,2.74,3.47,3.68,0.9,1.45,-4.68,-0.92,2.06,1.2,1.12,1.87,0.85,1.67,2.23
LA-New Orleans Suburban,29.9511,-90.0715,35380,149.52,2.15,-1.07,1.57,4.4,3.28,4.13,4.63,3.02,1.12,-0.31,-0.37,-0.59,1.51,2.89,0.08,-2.74,-1.72,-0.7,-4.57,1.17,-0.66,1.09,2.17,3.06,1.97,-0.64,0.92
CT-Hartford Suburban,41.7658,-72.6734,25540,372.2,-0.54,-2.32,-0.87,-0.85,-2.4,0.78,1.22,0.68,2.18,7.36,-0.07,0.37,0.16,0.62,1.79,2.77,1.48,0.56,-0.47,-1.8,0.24,-1.71,-0.69,2.29,1.62,0.54,2.41
UT-Salt Lake City Suburban,40.7608,-111.891,41620,8.4,-2.07,3.54,-3.24,-4.38,-1.38,2.75,0.95,1.64,1.71,67.98,4.37,2.63,4.21,3.99,6.22,5.69,2.81,2.71,-3.3,-3.13,0.66,2.99,3.48,2.12,3.03,3.37,4.49
AL-Brimingham Suburban,33.5207,-86.8025,13820,294.12,-0.77,2.55,2.16,3.46,3.82,2.61,2.47,1.13,0.58,5.42,0.24,-0.88,0.33,1.29,1.63,1.81,0.1,-1.57,-6.67,-0.39,1.7,1.32,0.41,-0.73,-0.08,0.6,1.62
NY-Buffalo Suburban,42.8864,-78.8784,15380,647.9,-2.03,-0.65,-0.3,0.57,0.03,1.03,1.48,-0.72,-1.15,0.55,-1.61,1.44,-0.33,0.47,0.62,0.19,-0.98,0.72,-3.12,-2.1,-1.21,0.24,0.3,-0.49,0.54,-0.26,0.09
NY-Rochester Suburban,43.1566,-77.6088,40380,168.1,0.72,0.53,2.24,0.82,1.13,2.03,1.96,0.44,-0.46,-3.51,-0.66,-0.08,-0.03,0.79,1.81,0.17,-1.35,0.04,-2.83,-1.12,-1.17,0.15,0.1,-0.5,0.84,-0.02,-0.16
MI-Grand Rapids Suburban,42.9634,-85.6681,24340,412.73,-1.78,1.98,5.8,4.54,3.01,2.01,4.61,2.92,3.69,-2.96,-1.74,-3.72,-1.07,2.37,1.77,0.27,-0.96,-1.94,-6.84,3.98,1.72,2.82,2.92,3.86,3.23,3.11,0.6
AZ-Tucson Suburban,32.2226,-110.9747,46060,106.7,2.58,3.64,5.29,7.53,4.37,-1.62,0.2,2.09,2.98,1.06,0.54,0.7,1.74,2.9,0.85,2.78,1.85,1.19,-1.11,-1.75,-1.56,0.33,-0.4,1.74,1.56,1.74,1.19
