Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1971,Yr_1972,Yr_1973,Yr_1974,Yr_1975,Yr_1976,Yr_1977,Yr_1978,Yr_1979,Yr_1980,Yr_1981,Yr_1982,Yr_1983,Yr_1984,Yr_1985,Yr_1986,Yr_1987,Yr_1988,Yr_1989,Yr_1990,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
WI-Milwaukee Urban,43.0389,-87.9065,33340,"3,926.00",-0.14%,0.59%,-1.56%,-0.57%,-2.34%,-0.10%,-1.68%,-1.97%,-0.23%,-0.78%,-0.40%,0.00%,-0.33%,-0.61%,0.14%,-0.15%,-0.05%,0.14%,0.50%,0.30%,0.42%,0.25%,-0.23%,-0.54%,-0.42%,-0.42%,-0.58%,-0.32%,-0.20%,-0.08%,-0.05%,0.06%,-0.04%,-0.28%,-0.47%,-0.24%,0.13%,0.35%,0.85%,0.60%,0.36%,0.37%,0.26%,0.12%,0.00%,-0.36%,-0.34%
FL-Jacksonville Urban,30.3322,-81.6557,27260,"2,919.35",1.18%,1.20%,1.15%,3.19%,-0.28%,0.60%,-0.07%,0.64%,-0.08%,2.08%,1.38%,1.19%,1.46%,1.96%,2.23%,2.64%,2.12%,1.99%,-0.08%,2.78%,2.35%,2.13%,0.71%,0.88%,1.10%,2.81%,1.88%,1.22%,1.00%,0.93%,1.46%,1.34%,1.20%,1.38%,1.22%,1.72%,1.22%,0.65%,0.59%,0.72%,0.78%,0.90%,0.73%,1.24%,1.60%,1.70%,1.43%
OK-Oklahoma City Urban,35.4676,-97.5164,36420,"1,013.80",2.25%,1.21%,0.35%,-0.77%,0.56%,0.44%,0.31%,1.12%,-0.10%,2.12%,1.69%,3.57%,2.96%,0.28%,-0.09%,-1.05%,-2.15%,-0.26%,0.23%,-0.11%,1.02%,1.43%,1.37%,1.20%,0.51%,0.96%,0.91%,0.62%,1.06%,0.70%,0.46%,0.95%,0.51%,0.47%,0.82%,1.00%,0.80%,0.83%,1.44%,1.28%,1.31%,1.72%,1.75%,1.43%,1.32%,0.97%,0.48%
TN-Memphis Urban,35.1495,-90.049,32820,"1,129.15",1.12%,1.11%,-0.78%,1.18%,0.06%,0.64%,0.60%,0.88%,1.34%,0.92%,-0.42%,0.31%,0.42%,0.38%,1.05%,0.98%,1.12%,1.30%,0.78%,0.49%,1.05%,1.01%,0.80%,1.11%,1.02%,0.74%,0.40%,0.64%,0.92%,0.59%,0.24%,0.44%,0.55%,0.42%,0.47%,0.92%,0.24%,0.05%,0.25%,0.63%,0.50%,0.64%,-0.05%,-0.02%,-0.04%,-0.04%,0.03%
NC-Raleigh Urban,35.7796,-78.6382,39580,"1,632.45",3.10%,2.93%,3.30%,3.11%,1.59%,1.77%,2.57%,2.13%,2.41%,3.13%,2.16%,2.11%,3.19%,4.23%,4.77%,3.64%,2.57%,3.77%,3.49%,4.38%,3.57%,3.68%,4.17%,4.30%,4.34%,4.18%,3.80%,3.75%,3.35%,3.32%,3.63%,3.03%,2.85%,2.91%,4.01%,4.90%,4.68%,4.17%,3.08%,2.56%,2.39%,2.38%,2.23%,2.37%,2.44%,2.42%,2.21%
KY-Louisville Urban,38.2527,-85.7585,31140,"1,581.80",1.22%,-0.27%,0.91%,0.31%,-0.42%,-0.37%,-0.86%,-0.24%,-0.43%,-1.02%,-0.42%,0.13%,-0.23%,-0.34%,-0.36%,-0.24%,-0.18%,-0.63%,-0.19%,0.10%,0.56%,0.73%,0.51%,0.48%,0.53%,0.36%,0.46%,0.47%,0.63%,0.48%,0.44%,0.46%,0.70%,0.52%,0.58%,0.88%,1.19%,1.03%,0.91%,0.77%,0.63%,0.73%,0.92%,0.47%,0.49%,0.47%,0.57%
VA-Richmond Urban,37.5407,-77.436,40060,"2,131.02",-0.59%,0.74%,0.42%,0.21%,0.04%,0.36%,-1.29%,-0.30%,0.04%,-0.58%,0.39%,0.48%,0.74%,0.11%,0.20%,0.21%,0.49%,0.67%,0.26%,-0.06%,0.93%,1.08%,0.86%,0.76%,0.05%,0.50%,0.89%,0.58%,0.60%,0.69%,0.70%,0.49%,0.62%,0.95%,1.20%,1.23%,1.21%,1.02%,1.02%,0.61%,0.84%,1.57%,1.14%,1.02%,0.99%,0.99%,0.57%
LA-New Orleans Urban,29.9511,-90.0715,35380,"1,746.25",1.53%,1.51%,0.28%,0.12%,0.82%,1.45%,0.64%,0.32%,0.46%,0.99%,0.70%,0.78%,0.09%,-0.77%,-0.61%,-0.86%,-1.95%,-1.69%,-1.31%,-1.40%,0.44%,0.58%,0.14%,0.10%,0.00%,-0.54%,-0.40%,-0.31%,-0.14%,-0.27%,0.00%,0.28%,0.38%,0.39%,0.05%,-30.96%,6.85%,4.59%,3.56%,2.74%,1.82%,1.25%,1.20%,0.74%,0.88%,0.47%,0.10%
CT-Hartford Urban,41.7658,-72.6734,25540,"1,918.90",0.81%,-0.04%,0.01%,0.17%,-0.37%,-0.33%,-0.52%,0.17%,0.13%,0.50%,0.37%,0.06%,0.75%,0.54%,0.62%,0.98%,1.20%,1.24%,0.17%,0.06%,0.24%,-0.25%,0.06%,-0.03%,-0.20%,0.09%,0.12%,0.45%,0.56%,0.76%,0.55%,0.69%,0.74%,0.16%,0.42%,0.43%,0.37%,0.40%,0.42%,0.36%,0.27%,0.00%,0.09%,-0.14%,-0.21%,-0.23%,-0.01%
UT-Salt Lake City Urban,40.7608,-111.891,41620,"1,387.10",3.13%,2.34%,2.83%,2.43%,2.77%,3.43%,3.00%,3.29%,3.30%,4.01%,2.89%,2.36%,2.37%,1.87%,1.15%,1.32%,0.89%,0.79%,0.65%,1.51%,2.89%,3.11%,3.05%,2.63%,2.07%,2.04%,2.17%,1.18%,1.05%,1.11%,1.08%,0.81%,0.72%,1.01%,1.48%,1.99%,1.75%,1.61%,1.72%,1.59%,1.49%,1.54%,1.54%,0.97%,1.20%,1.54%,1.27%
AL-Brimingham Urban,33.5207,-86.8025,13820,"1,581.80",0.81%,-0.01%,1.01%,0.26%,1.20%,1.26%,1.10%,0.98%,0.72%,0.19%,-0.07%,-0.50%,0.04%,0.25%,0.42%,0.34%,0.68%,0.27%,0.23%,0.31%,0.99%,0.99%,1.04%,1.03%,0.69%,0.51%,0.41%,0.57%,0.37%,0.42%,0.35%,0.24%,0.71%,0.56%,0.59%,0.98%,0.47%,0.76%,0.72%,0.34%,0.19%,0.33%,0.48%,0.36%,0.38%,0.21%,0.23%
NY-Buffalo Urban,42.8864,-78.8784,15380,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY-Rochester Urban,43.1566,-77.6088,40380,"2,053.50",0.23%,0.06%,-0.25%,-0.37%,0.54%,-0.01%,0.09%,-0.63%,-0.02%,-0.05%,0.42%,0.55%,0.21%,-0.70%,-0.14%,-0.05%,-0.30%,0.58%,0.88%,0.68%,0.79%,1.03%,0.71%,0.10%,-0.02%,0.12%,0.04%,0.00%,-0.03%,0.64%,0.11%,0.17%,0.07%,-0.09%,-0.32%,-0.04%,0.10%,0.24%,0.27%,0.19%,0.25%,0.10%,0.11%,-0.10%,-0.21%,-0.19%,0.01%
