Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
WI-Milwaukee,43.0389,-87.9065,33340,"1,434.38",-1.26,2.54,1.84,2.15,2.12,1.59,1.21,0,-0.26,-1.87,-0.95,-1.67,-0.33,-0.2,-0.43,1.44,1.32,0.14,-4.31,1.57,0.98,0.54,0.91,1.69,0.95,1.03,1.51
FL-Jacksonville,30.3322,-81.6557,27260,"1,352.00",0.21,0.95,2.49,4.01,3.66,1.19,2.28,2.77,2.23,2.59,0.58,-1.51,0.74,2.42,4.98,4.02,1.84,-0.26,-5.15,1.5,1.8,2.05,2.01,1.87,1.37,2.73,4.66
OK-Oklahoma City,35.4676,-97.5164,36420,299.37,-1.96,0.74,1.37,1.61,2.79,2.87,1.41,1.29,2.78,-0.56,0.6,0.07,-1.26,1.65,1.04,-0.61,-1.53,1.2,-1.4,9.51,2,2.88,0.85,0.34,2.58,-0.21,1.09
TN-Memphis,35.1495,-90.049,32820,370.5,-1.32,-0.04,1.96,4.74,3.57,2.14,2,2.1,1.67,-1.2,-0.2,-0.44,-0.12,-1.44,0.93,3.87,1.66,-2.42,-4.33,3.37,1.3,-0.19,-1.91,-0.47,2.02,2.22,2.08
NC-Raleigh,35.7796,-78.6382,39580,"1,159.43",2.09,3.64,3.36,4.2,3.89,7.24,5.26,3.37,3.36,0.87,1.2,-1.74,2.5,2.2,3.54,5.95,3.06,2.05,-3.37,4.36,1.84,3.54,2.64,3.49,3.4,4.14,2.9
KY-Louisville,38.2527,-85.7585,31140,593.39,-1.33,1.83,2.17,2.93,1.6,0.61,2.63,1.89,1.82,-2.35,-2.65,-1.99,-0.09,0.76,1.21,2.22,0.56,-0.73,-3.15,2.65,0.69,2.26,1.56,0.53,0.77,2.77,3.05
VA-Richmond,37.5407,-77.436,40060,741.36,0.9,0.82,0.57,2.83,1.17,-1.17,1.62,1.77,1.5,1.92,0.42,0.22,0.68,2.03,2.81,2.76,1.69,1.27,-4.59,0.46,2.08,1.61,1.27,1.96,0.9,1.75,2.13
LA-New Orleans,29.9511,-90.0715,35380,548.7,0.96,-2.39,0.04,2.69,1.75,2.23,2.88,1.66,-0.14,-0.7,-1.79,-2.2,0.03,1.18,-0.78,-2.74,0.26,3.26,-1.85,3.69,-0.16,1.21,2.33,2.9,1.64,-0.63,0.48
CT-Hartford,41.7658,-72.6734,25540,"1,403.33",-0.68,-2.87,-1.13,-1.49,-2.23,0.13,0.53,0.57,1.65,3.32,-0.88,-0.9,-0.88,-0.05,1.66,2.48,1.51,0.48,-1.35,0.42,0.47,-1.08,-0.28,2.15,1.29,0.61,2.25
UT-Salt Lake City,40.7608,-111.891,41620,697.75,2.64,3.95,6.11,4.84,3.08,1.71,2.9,1.34,1.5,0.96,0.16,-0.94,0.6,1.76,4.52,4.57,3.4,0.45,-4.42,-1.69,0.75,3.34,3.5,1.81,2.19,3.34,2.84
AL-Brimingham,33.5207,-86.8025,13820,662.03,-0.21,1.78,1.89,2.83,2.89,2.07,2.84,1.38,0.16,-0.13,-0.46,-1.27,0.15,0.94,1.03,1.32,0.01,-1.8,-6.67,3.03,1.79,1.4,0.53,-0.22,-0.2,0.54,1.44
NY-Buffalo,42.8864,-78.8784,15380,647.9,-2.03,-0.65,-0.3,0.57,0.03,1.03,1.48,-0.72,-1.15,0.55,-1.61,1.44,-0.33,0.47,0.62,0.19,-0.98,0.72,-3.12,-2.1,-1.21,0.24,0.3,-0.49,0.54,-0.26,0.09
NY-Rochester,43.1566,-77.6088,40380,796.57,0.17,-0.13,1.51,-0.05,0.45,1.39,1.67,0.39,-1.04,-2.89,-0.92,-0.54,-0.49,0.3,1.53,-0.07,-0.96,0.18,-3.16,0.03,-0.94,0.34,0.17,-0.67,0.75,-0.24,-0.2
MI-Grand Rapids,42.9634,-85.6681,24340,412.73,-1.78,1.98,5.8,4.54,3.01,2.01,4.61,2.92,3.69,-2.96,-1.74,-3.72,-1.07,2.37,1.77,0.27,-0.96,-1.94,-6.84,3.98,1.72,2.82,2.92,3.86,3.23,3.11,0.6
AZ-Tucson,32.2226,-110.9747,46060,106.7,2.58,3.64,5.29,7.53,4.37,-1.62,0.2,2.09,2.98,1.06,0.54,0.7,1.74,2.9,0.85,2.78,1.85,1.19,-1.11,-1.75,-1.56,0.33,-0.4,1.74,1.56,1.74,1.19
