CBSA,CBSA Code,Pop Density,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MI-Detroit,19820,"1,163.87",-1.83%,2.27%,2.60%,2.14%,0.77%,2.19%,1.35%,1.71%,1.48%,0.49%,-3.42%,-3.37%,-0.72%,-0.15%,0.23%,-1.05%,-1.71%,-3.37%,-7.26%,-1.04%,0.06%,1.72%,1.52%,1.67%,2.29%,2.67%,3.17%
MI-Detroit Suburban,19820,289.4,-0.19%,4.23%,3.06%,3.11%,1.72%,3.22%,2.60%,3.53%,3.09%,7.99%,-2.61%,-1.62%,0.52%,0.81%,1.31%,-0.58%,-1.89%,-3.76%,-7.86%,-0.42%,0.14%,1.41%,1.58%,1.62%,2.55%,2.72%,3.17%
MI-Detroit Urban,19820,"2,038.33",-1.98%,2.10%,2.56%,2.05%,0.69%,2.09%,1.23%,1.54%,1.32%,-0.26%,-3.51%,-3.56%,-0.86%,-0.26%,0.11%,-1.10%,-1.69%,-3.32%,-7.19%,-1.11%,0.05%,1.75%,1.52%,1.67%,2.26%,2.66%,3.17%
WA-Seattle,42660,577,-0.33%,2.59%,1.45%,1.36%,1.87%,3.18%,5.07%,2.64%,0.76%,-0.78%,-0.99%,-1.34%,0.71%,2.50%,2.89%,3.50%,2.90%,1.40%,-2.57%,-1.35%,0.62%,2.50%,2.31%,2.24%,2.06%,3.02%,2.50%
WA-Seattle Suburban,42660,577,-0.33%,2.59%,1.45%,1.36%,1.87%,3.18%,5.07%,2.64%,0.76%,-0.78%,-0.99%,-1.34%,0.71%,2.50%,2.89%,3.50%,2.90%,1.40%,-2.57%,-1.35%,0.62%,2.50%,2.31%,2.24%,2.06%,3.02%,2.50%
WA-Seattle Urban,42660,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-Minneapolis,33460,600.19,0.43%,1.97%,2.01%,3.04%,2.67%,1.68%,1.99%,2.09%,1.96%,1.01%,0.21%,-0.56%,0.54%,0.74%,0.96%,0.44%,0.21%,-0.40%,-2.71%,0.15%,1.62%,1.17%,1.50%,1.37%,0.85%,1.08%,3.13%
MI-Minneapolis Suburban,33460,298.56,1.89%,3.67%,3.66%,4.50%,3.91%,3.49%,3.20%,3.18%,3.13%,1.89%,1.40%,0.89%,1.88%,2.04%,2.18%,1.43%,-0.04%,-0.09%,-2.74%,0.67%,1.44%,0.98%,1.37%,1.35%,0.86%,1.09%,3.17%
MI-Minneapolis Urban,33460,"2,711.65",-0.58%,0.75%,0.80%,1.94%,1.72%,0.25%,1.01%,1.19%,0.97%,0.25%,-0.83%,-1.86%,-0.70%,-0.50%,-0.22%,-0.55%,0.46%,-0.72%,-2.68%,-0.39%,1.80%,1.37%,1.64%,1.39%,0.83%,1.06%,3.09%
CA-San Diego ,41740,735.8,-2.35%,-0.46%,-0.21%,1.42%,0.53%,2.17%,4.25%,3.72%,3.38%,1.10%,1.99%,1.46%,0.95%,1.93%,1.19%,0.78%,0.66%,0.43%,-3.05%,-3.98%,1.11%,2.39%,1.62%,1.54%,2.07%,1.53%,1.62%
CA-San Diego Suburban,41740,735.8,-2.35%,-0.46%,-0.21%,1.42%,0.53%,2.17%,4.25%,3.72%,3.38%,1.10%,1.99%,1.46%,0.95%,1.93%,1.19%,0.78%,0.66%,0.43%,-3.05%,-3.98%,1.11%,2.39%,1.62%,1.54%,2.07%,1.53%,1.62%
CA-San Diego Urban,41740, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
