Region,Lat,Long,CBSA Code,Pop Density,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AZ-Phoenix Suburban,33.4484,-112.074,38060,242.45,"1,051,880.00","1,100,221.00","1,163,970.00","1,237,666.00","1,301,948.00","1,337,678.00","1,366,413.00","1,416,923.00","1,476,479.00","1,546,337.00","1,612,899.00","1,658,994.00","1,708,659.00","1,761,814.00","1,837,456.00","1,931,973.00","2,013,324.00","2,102,567.00","2,162,656.00","2,217,534.00","2,249,116.00","2,319,206.00","2,398,760.00","2,491,818.00","2,613,502.00","2,744,046.00","2,855,711.00","2,963,714.00","3,074,532.00","3,178,349.00","3,273,477.00","3,363,736.00","3,452,470.00","3,536,388.00","3,637,332.00","3,774,696.00","3,914,212.00","4,018,128.00","4,106,372.00","4,153,609.00","4,204,148.00","4,247,852.00","4,321,686.00","4,390,565.00","4,470,712.00","4,558,145.00","4,648,498.00","4,737,270.00"
AZ-Phoenix Urban,33.4484,-112.074,38060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-Riverside,33.9806,-117.3755,40140,202.65,"1,145,544.00","1,171,158.00","1,189,471.00","1,202,184.00","1,229,744.00","1,248,569.00","1,282,521.00","1,347,624.00","1,435,730.00","1,496,853.00","1,572,726.00","1,626,179.00","1,686,600.00","1,743,460.00","1,811,014.00","1,897,928.00","1,995,378.00","2,122,249.00","2,267,156.00","2,437,486.00","2,630,471.00","2,739,150.00","2,821,341.00","2,864,517.00","2,905,505.00","2,949,807.00","2,990,316.00","3,042,372.00","3,108,220.00","3,189,513.00","3,277,022.00","3,377,365.00","3,486,938.00","3,617,771.00","3,755,607.00","3,875,709.00","3,986,510.00","4,067,344.00","4,113,447.00","4,160,685.00","4,243,235.00","4,298,271.00","4,341,405.00","4,378,138.00","4,425,776.00","4,472,874.00","4,523,653.00","4,580,670.00"
CA-Riverside Suburban,33.9806,-117.3755,40140,202.65,"1,145,544.00","1,171,158.00","1,189,471.00","1,202,184.00","1,229,744.00","1,248,569.00","1,282,521.00","1,347,624.00","1,435,730.00","1,496,853.00","1,572,726.00","1,626,179.00","1,686,600.00","1,743,460.00","1,811,014.00","1,897,928.00","1,995,378.00","2,122,249.00","2,267,156.00","2,437,486.00","2,630,471.00","2,739,150.00","2,821,341.00","2,864,517.00","2,905,505.00","2,949,807.00","2,990,316.00","3,042,372.00","3,108,220.00","3,189,513.00","3,277,022.00","3,377,365.00","3,486,938.00","3,617,771.00","3,755,607.00","3,875,709.00","3,986,510.00","4,067,344.00","4,113,447.00","4,160,685.00","4,243,235.00","4,298,271.00","4,341,405.00","4,378,138.00","4,425,776.00","4,472,874.00","4,523,653.00","4,580,670.00"
CA-Riverside Urban,33.9806,-117.3755,40140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI-Detroit,42.3314,-83.0458,19820,"1,163.87","4,439,985.00","4,459,766.00","4,453,499.00","4,435,768.00","4,422,065.00","4,394,443.00","4,361,561.00","4,351,969.00","4,356,610.00","4,356,801.00","4,339,047.00","4,275,745.00","4,223,103.00","4,185,050.00","4,182,756.00","4,195,984.00","4,219,758.00","4,241,506.00","4,234,092.00","4,237,899.00","4,250,986.00","4,285,663.00","4,319,806.00","4,344,712.00","4,365,423.00","4,399,746.00","4,433,102.00","4,440,400.00","4,441,717.00","4,447,649.00","4,455,503.00","4,461,855.00","4,456,433.00","4,453,371.00","4,445,887.00","4,431,048.00","4,409,697.00","4,377,116.00","4,339,504.00","4,311,728.00","4,291,287.00","4,288,618.00","4,295,646.00","4,298,541.00","4,303,366.00","4,302,282.00","4,305,869.00","4,313,002.00"
MI-Detroit Suburban,42.3314,-83.0458,19820,289.4,"232,616.00","240,663.00","246,163.00","255,623.00","264,595.00","269,784.00","275,562.00","283,891.00","294,620.00","304,668.00","310,146.00","312,579.00","309,075.00","305,965.00","307,057.00","309,283.00","313,797.00","320,111.00","325,316.00","329,462.00","338,106.00","344,715.00","350,502.00","356,432.00","362,985.00","371,368.00","379,464.00","386,843.00","394,833.00","403,209.00","411,237.00","417,692.00","423,954.00","429,479.00","434,827.00","438,767.00","441,623.00","440,559.00","437,044.00","433,867.00","431,924.00","431,573.00","431,411.00","432,546.00","433,624.00","435,206.00","436,006.00","437,175.00"
MI-Detroit Urban,42.3314,-83.0458,19820,"2,038.33","4,207,369.00","4,219,103.00","4,207,336.00","4,180,145.00","4,157,470.00","4,124,659.00","4,085,999.00","4,068,078.00","4,061,990.00","4,052,133.00","4,028,901.00","3,963,166.00","3,914,028.00","3,879,085.00","3,875,699.00","3,886,701.00","3,905,961.00","3,921,395.00","3,908,776.00","3,908,437.00","3,912,880.00","3,940,948.00","3,969,304.00","3,988,280.00","4,002,438.00","4,028,378.00","4,053,638.00","4,053,557.00","4,046,884.00","4,044,440.00","4,044,266.00","4,044,163.00","4,032,479.00","4,023,892.00","4,011,060.00","3,992,281.00","3,968,074.00","3,936,557.00","3,902,460.00","3,877,861.00","3,859,363.00","3,857,045.00","3,864,235.00","3,865,995.00","3,869,742.00","3,867,076.00","3,869,863.00","3,875,827.00"
WA-Seattle,83.0458,-122.3321,42660,577,"1,836,586.00","1,835,185.00","1,806,085.00","1,800,969.00","1,833,966.00","1,866,267.00","1,886,228.00","1,916,690.00","1,971,115.00","2,032,121.00","2,105,707.00","2,151,689.00","2,177,909.00","2,188,095.00","2,216,023.00","2,258,022.00","2,301,016.00","2,356,243.00","2,426,400.00","2,493,220.00","2,578,807.00","2,630,705.00","2,690,858.00","2,740,325.00","2,774,159.00","2,814,630.00","2,856,795.00","2,918,071.00","2,978,761.00","3,019,651.00","3,052,187.00","3,092,927.00","3,118,302.00","3,133,021.00","3,158,967.00","3,198,265.00","3,257,081.00","3,304,467.00","3,355,042.00","3,414,797.00","3,448,049.00","3,496,870.00","3,552,220.00","3,610,580.00","3,667,189.00","3,728,606.00","3,802,660.00","3,867,046.00"
WA-Seattle Suburban,83.0458,-122.3321,42660,577,"1,836,586.00","1,835,185.00","1,806,085.00","1,800,969.00","1,833,966.00","1,866,267.00","1,886,228.00","1,916,690.00","1,971,115.00","2,032,121.00","2,105,707.00","2,151,689.00","2,177,909.00","2,188,095.00","2,216,023.00","2,258,022.00","2,301,016.00","2,356,243.00","2,426,400.00","2,493,220.00","2,578,807.00","2,630,705.00","2,690,858.00","2,740,325.00","2,774,159.00","2,814,630.00","2,856,795.00","2,918,071.00","2,978,761.00","3,019,651.00","3,052,187.00","3,092,927.00","3,118,302.00","3,133,021.00","3,158,967.00","3,198,265.00","3,257,081.00","3,304,467.00","3,355,042.00","3,414,797.00","3,448,049.00","3,496,870.00","3,552,220.00","3,610,580.00","3,667,189.00","3,728,606.00","3,802,660.00","3,867,046.00"
WA-Seattle Urban,83.0458,-122.3321,42660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI-Minneapolis,44.9778,-93.265,33460,600.19,"2,084,715.00","2,104,259.00","2,107,887.00","2,125,906.00","2,145,056.00","2,154,251.00","2,167,953.00","2,179,302.00","2,200,154.00","2,224,740.00","2,264,687.00","2,291,958.00","2,317,215.00","2,331,871.00","2,354,981.00","2,390,968.00","2,428,153.00","2,468,884.00","2,523,554.00","2,562,414.00","2,606,156.00","2,646,336.00","2,688,729.00","2,734,239.00","2,776,675.00","2,819,211.00","2,861,505.00","2,903,107.00","2,946,520.00","2,994,735.00","3,044,425.00","3,086,645.00","3,116,197.00","3,143,413.00","3,171,902.00","3,199,046.00","3,234,367.00","3,269,613.00","3,301,252.00","3,330,508.00","3,355,196.00","3,388,629.00","3,422,188.00","3,458,299.00","3,493,226.00","3,521,325.00","3,557,276.00","3,600,618.00"
MI-Minneapolis Suburban,44.9778,-93.265,33460,298.56,"648,003.00","666,012.00","690,947.00","719,759.00","741,419.00","757,922.00","777,276.00","792,741.00","814,445.00","837,276.00","859,053.00","873,663.00","887,973.00","895,756.00","912,222.00","931,506.00","951,849.00","982,649.00","1,021,249.00","1,050,098.00","1,084,493.00","1,114,839.00","1,146,996.00","1,182,326.00","1,214,031.00","1,246,422.00","1,279,422.00","1,310,899.00","1,341,443.00","1,375,926.00","1,415,130.00","1,450,344.00","1,484,886.00","1,517,997.00","1,552,042.00","1,584,471.00","1,617,702.00","1,643,423.00","1,663,189.00","1,677,197.00","1,691,634.00","1,703,298.00","1,716,062.00","1,731,243.00","1,747,766.00","1,760,398.00","1,777,437.00","1,800,620.00"
MI-Minneapolis Urban,44.9778,-93.265,33460,"2,711.65","1,436,712.00","1,438,247.00","1,416,940.00","1,406,147.00","1,403,637.00","1,396,329.00","1,390,677.00","1,386,561.00","1,385,709.00","1,387,464.00","1,405,634.00","1,418,295.00","1,429,242.00","1,436,115.00","1,442,759.00","1,459,462.00","1,476,304.00","1,486,235.00","1,502,305.00","1,512,316.00","1,521,663.00","1,531,497.00","1,541,733.00","1,551,913.00","1,562,644.00","1,572,789.00","1,582,083.00","1,592,208.00","1,605,077.00","1,618,809.00","1,629,295.00","1,636,301.00","1,631,311.00","1,625,416.00","1,619,860.00","1,614,575.00","1,616,665.00","1,626,190.00","1,638,063.00","1,653,311.00","1,663,562.00","1,685,331.00","1,706,126.00","1,727,056.00","1,745,460.00","1,760,927.00","1,779,839.00","1,799,998.00"
CA-San Diego ,32.7157,-117.1611,41740,735.8,"1,364,665.00","1,391,925.00","1,433,123.00","1,499,591.00","1,540,668.00","1,616,904.00","1,642,781.00","1,715,516.00","1,775,406.00","1,827,598.00","1,875,284.00","1,927,017.00","1,972,358.00","2,018,133.00","2,066,418.00","2,126,092.00","2,196,830.00","2,275,305.00","2,364,290.00","2,444,387.00","2,512,365.00","2,553,122.00","2,593,126.00","2,599,776.00","2,614,685.00","2,623,697.00","2,651,549.00","2,692,600.00","2,736,720.00","2,789,593.00","2,827,366.00","2,869,672.00","2,900,355.00","2,914,702.00","2,930,007.00","2,938,375.00","2,947,289.00","2,975,742.00","3,022,116.00","3,061,203.00","3,103,793.00","3,139,767.00","3,179,798.00","3,216,522.00","3,256,875.00","3,290,044.00","3,317,200.00","3,337,685.00"
CA-San Diego Suburban,32.7157,-117.1611,41740,735.8,"1,364,665.00","1,391,925.00","1,433,123.00","1,499,591.00","1,540,668.00","1,616,904.00","1,642,781.00","1,715,516.00","1,775,406.00","1,827,598.00","1,875,284.00","1,927,017.00","1,972,358.00","2,018,133.00","2,066,418.00","2,126,092.00","2,196,830.00","2,275,305.00","2,364,290.00","2,444,387.00","2,512,365.00","2,553,122.00","2,593,126.00","2,599,776.00","2,614,685.00","2,623,697.00","2,651,549.00","2,692,600.00","2,736,720.00","2,789,593.00","2,827,366.00","2,869,672.00","2,900,355.00","2,914,702.00","2,930,007.00","2,938,375.00","2,947,289.00","2,975,742.00","3,022,116.00","3,061,203.00","3,103,793.00","3,139,767.00","3,179,798.00","3,216,522.00","3,256,875.00","3,290,044.00","3,317,200.00","3,337,685.00"
CA-San Diego Urban,32.7157,-117.1611,41740, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
FL-Tampa Bay,27.7634,-82.5437,45300,"1,385.05","1,120,573.00","1,180,721.00","1,251,914.00","1,333,551.00","1,394,491.00","1,425,848.00","1,452,429.00","1,478,253.00","1,517,774.00","1,573,359.00","1,627,499.00","1,677,408.00","1,722,725.00","1,774,387.00","1,825,792.00","1,877,005.00","1,923,599.00","1,967,211.00","2,005,543.00","2,039,327.00","2,077,857.00","2,110,974.00","2,135,204.00","2,163,912.00","2,194,294.00","2,226,036.00","2,256,460.00","2,297,251.00","2,336,822.00","2,369,105.00","2,404,013.00","2,444,015.00","2,487,445.00","2,529,652.00","2,587,771.00","2,651,580.00","2,699,935.00","2,726,780.00","2,746,981.00","2,763,937.00","2,788,500.00","2,829,142.00","2,847,187.00","2,872,530.00","2,916,839.00","2,973,756.00","3,036,525.00","3,091,399.00"
FL-Tampa Bay Suburban,27.7634,-82.5437,45300,493.9,"96,151.00","108,990.00","126,417.00","144,237.00","153,732.00","172,014.00","180,971.00","193,904.00","206,327.00","225,019.00","242,399.00","258,386.00","272,644.00","285,534.00","300,246.00","314,537.00","329,492.00","344,507.00","359,328.00","371,067.00","384,663.00","392,746.00","398,045.00","407,548.00","418,895.00","428,132.00","438,227.00","448,768.00","458,660.00","466,796.00","478,428.00","491,780.00","507,483.00","525,924.00","551,241.00","579,000.00","603,927.00","623,470.00","633,750.00","634,557.00","638,453.00","639,338.00","642,659.00","648,488.00","659,395.00","673,531.00","692,792.00","712,196.00"
FL-Tampa Bay Urban,27.7634,-82.5437,45300,"2,276.20","1,024,422.00","1,071,731.00","1,125,497.00","1,189,314.00","1,240,759.00","1,253,834.00","1,271,458.00","1,284,349.00","1,311,447.00","1,348,340.00","1,385,100.00","1,419,022.00","1,450,081.00","1,488,853.00","1,525,546.00","1,562,468.00","1,594,107.00","1,622,704.00","1,646,215.00","1,668,260.00","1,693,194.00","1,718,228.00","1,737,159.00","1,756,364.00","1,775,399.00","1,797,904.00","1,818,233.00","1,848,483.00","1,878,162.00","1,902,309.00","1,925,585.00","1,952,235.00","1,979,962.00","2,003,728.00","2,036,530.00","2,072,580.00","2,096,008.00","2,103,310.00","2,113,231.00","2,129,380.00","2,150,047.00","2,189,804.00","2,204,528.00","2,224,042.00","2,257,444.00","2,300,225.00","2,343,733.00","2,379,203.00"
CO-Denver,39.7392,-104.9903,19740,"1,035.60","1,127,385.00","1,162,752.00","1,205,728.00","1,247,879.00","1,262,790.00","1,285,563.00","1,316,552.00","1,343,657.00","1,390,232.00","1,432,046.00","1,461,178.00","1,497,995.00","1,541,283.00","1,578,685.00","1,600,242.00","1,623,118.00","1,637,266.00","1,644,581.00","1,638,278.00","1,639,412.00","1,658,024.00","1,702,298.00","1,760,945.00","1,819,298.00","1,862,948.00","1,910,680.00","1,959,552.00","2,012,227.00","2,061,091.00","2,118,555.00","2,192,840.00","2,241,381.00","2,266,781.00","2,284,876.00","2,304,818.00","2,332,749.00","2,374,194.00","2,418,686.00","2,463,971.00","2,509,417.00","2,554,399.00","2,599,629.00","2,646,151.00","2,696,308.00","2,749,827.00","2,807,211.00","2,851,848.00","2,888,227.00"
CO-Denver Suburban,39.7392,-104.9903,19740,203.17,"363,791.00","378,548.00","402,909.00","426,062.00","438,235.00","454,929.00","471,674.00","487,492.00","519,083.00","544,259.00","566,731.00","586,860.00","613,318.00","631,853.00","647,033.00","661,425.00","671,101.00","676,991.00","675,703.00","675,297.00","688,201.00","709,515.00","734,364.00","757,273.00","777,404.00","797,631.00","817,400.00","837,673.00","860,328.00","883,516.00","891,138.00","912,722.00","931,429.00","943,191.00","955,787.00","971,958.00","990,772.00","1,010,677.00","1,030,566.00","1,052,270.00","1,072,283.00","1,090,029.00","1,108,675.00","1,130,441.00","1,152,081.00","1,174,948.00","1,192,001.00","1,205,353.00"
CO-Denver Urban,39.7392,-104.9903,19740,"2,284.25","763,594.00","784,204.00","802,819.00","821,817.00","824,555.00","830,634.00","844,878.00","856,165.00","871,149.00","887,787.00","894,447.00","911,135.00","927,965.00","946,832.00","953,209.00","961,693.00","966,165.00","967,590.00","962,575.00","964,115.00","969,823.00","992,783.00","1,026,581.00","1,062,025.00","1,085,544.00","1,113,049.00","1,142,152.00","1,174,554.00","1,200,763.00","1,235,039.00","1,301,702.00","1,328,659.00","1,335,352.00","1,341,685.00","1,349,031.00","1,360,791.00","1,383,422.00","1,408,009.00","1,433,405.00","1,457,147.00","1,482,116.00","1,509,600.00","1,537,476.00","1,565,867.00","1,597,746.00","1,632,263.00","1,659,847.00","1,682,874.00"
MO-St Louis,38.627,-90.1994,41180,"1,009.92","2,519,923.00","2,514,249.00","2,506,045.00","2,493,673.00","2,483,271.00","2,483,266.00","2,483,149.00","2,476,447.00","2,479,878.00","2,484,537.00","2,487,087.00","2,487,371.00","2,481,526.00","2,484,810.00","2,496,978.00","2,513,858.00","2,529,029.00","2,543,759.00","2,552,780.00","2,554,884.00","2,565,020.00","2,579,363.00","2,590,410.00","2,605,968.00","2,616,756.00","2,629,433.00","2,640,161.00","2,651,165.00","2,657,031.00","2,666,413.00","2,678,822.00","2,690,131.00","2,700,121.00","2,711,031.00","2,721,868.00","2,730,316.00","2,744,265.00","2,755,581.00","2,767,776.00","2,779,404.00","2,789,860.00","2,793,774.00","2,796,137.00","2,799,644.00","2,803,901.00","2,807,321.00","2,806,782.00","2,807,338.00"
MO-St Louis Suburban,38.627,-90.1994,41180,275.73,"769,440.00","774,240.00","786,490.00","790,123.00","789,355.00","791,513.00","796,246.00","802,205.00","812,438.00","820,427.00","822,950.00","827,872.00","827,077.00","831,320.00","839,909.00","849,923.00","863,405.00","876,324.00","884,571.00","889,941.00","897,994.00","905,794.00","913,977.00","927,648.00","935,912.00","948,024.00","957,786.00","967,919.00","976,251.00","983,769.00","994,749.00","1,006,789.00","1,019,987.00","1,033,297.00","1,047,351.00","1,061,696.00","1,077,994.00","1,090,881.00","1,101,399.00","1,109,910.00","1,118,231.00","1,120,978.00","1,121,838.00","1,124,350.00","1,127,705.00","1,130,823.00","1,135,377.00","1,140,749.00"
MO-St Louis Urban,38.627,-90.1994,41180,"2,478.30","1,750,483.00","1,740,009.00","1,719,555.00","1,703,550.00","1,693,916.00","1,691,753.00","1,686,903.00","1,674,242.00","1,667,440.00","1,664,110.00","1,664,137.00","1,659,499.00","1,654,449.00","1,653,490.00","1,657,069.00","1,663,935.00","1,665,624.00","1,667,435.00","1,668,209.00","1,664,943.00","1,667,026.00","1,673,569.00","1,676,433.00","1,678,320.00","1,680,844.00","1,681,409.00","1,682,375.00","1,683,246.00","1,680,780.00","1,682,644.00","1,684,073.00","1,683,342.00","1,680,134.00","1,677,734.00","1,674,517.00","1,668,620.00","1,666,271.00","1,664,700.00","1,666,377.00","1,669,494.00","1,671,629.00","1,672,796.00","1,674,299.00","1,675,294.00","1,676,196.00","1,676,498.00","1,671,405.00","1,666,589.00"
MA-Baltimore,39.2904,-76.6122,12580,"1,788.54","2,097,942.00","2,132,085.00","2,152,227.00","2,167,914.00","2,179,406.00","2,184,327.00","2,188,962.00","2,201,876.00","2,204,364.00","2,209,147.00","2,202,596.00","2,214,435.00","2,220,754.00","2,228,435.00","2,244,739.00","2,255,978.00","2,285,656.00","2,309,718.00","2,340,868.00","2,360,609.00","2,390,543.00","2,418,136.00","2,440,078.00","2,458,038.00","2,475,364.00","2,490,370.00","2,501,453.00","2,513,492.00","2,525,266.00","2,540,307.00","2,557,958.00","2,575,471.00","2,596,501.00","2,614,232.00","2,630,946.00","2,644,231.00","2,658,162.00","2,667,619.00","2,679,819.00","2,696,018.00","2,715,503.00","2,734,969.00","2,756,285.00","2,771,586.00","2,784,424.00","2,795,036.00","2,801,028.00","2,808,175.00"
MA-Baltimore Suburban,39.2904,-76.6122,12580,354,"204,386.00","210,775.00","217,707.00","225,202.00","230,121.00","234,806.00","243,470.00","251,661.00","259,144.00","265,528.00","269,038.00","272,941.00","276,164.00","279,360.00","285,007.00","289,891.00","298,889.00","309,870.00","320,878.00","330,507.00","341,885.00","350,311.00","358,698.00","363,309.00","371,392.00","379,165.00","386,963.00","394,365.00","399,542.00","405,634.00","412,014.00","418,043.00","427,823.00","436,488.00","443,175.00","448,800.00","453,829.00","455,541.00","457,275.00","458,245.00","460,233.00","462,019.00","464,127.00","464,725.00","465,581.00","465,836.00","466,757.00","469,711.00"
MA-Baltimore Urban,39.2904,-76.6122,12580,"2,864.45","1,893,556.00","1,921,310.00","1,934,520.00","1,942,712.00","1,949,285.00","1,949,521.00","1,945,492.00","1,950,215.00","1,945,220.00","1,943,619.00","1,933,558.00","1,941,494.00","1,944,590.00","1,949,075.00","1,959,732.00","1,966,087.00","1,986,767.00","1,999,848.00","2,019,990.00","2,030,102.00","2,048,658.00","2,067,825.00","2,081,380.00","2,094,729.00","2,103,972.00","2,111,205.00","2,114,490.00","2,119,127.00","2,125,724.00","2,134,673.00","2,145,944.00","2,157,428.00","2,168,678.00","2,177,744.00","2,187,771.00","2,195,431.00","2,204,333.00","2,212,078.00","2,222,544.00","2,237,773.00","2,255,270.00","2,272,950.00","2,292,158.00","2,306,861.00","2,318,843.00","2,329,200.00","2,334,271.00","2,338,464.00"
SC-Charlotte,35.2271,-80.8431,16740,"1,069.36","990,008.00","1,007,531.00","1,027,936.00","1,042,980.00","1,054,009.00","1,058,533.00","1,065,605.00","1,076,259.00","1,095,021.00","1,115,283.00","1,142,287.00","1,159,802.00","1,176,760.00","1,186,633.00","1,206,705.00","1,229,880.00","1,247,721.00","1,272,220.00","1,297,138.00","1,320,610.00","1,349,847.00","1,380,932.00","1,405,306.00","1,435,716.00","1,470,366.00","1,509,023.00","1,550,697.00","1,594,838.00","1,639,936.00","1,686,617.00","1,728,616.00","1,769,476.00","1,806,638.00","1,841,489.00","1,880,010.00","1,934,168.00","2,009,239.00","2,086,153.00","2,151,756.00","2,195,856.00","2,223,196.00","2,256,180.00","2,293,822.00","2,334,036.00","2,376,148.00","2,424,115.00","2,475,519.00","2,525,305.00"
SC-Charlotte Suburban,35.2271,-80.8431,16740,465.25,"579,174.00","590,823.00","601,076.00","609,110.00","614,655.00","618,186.00","621,739.00","627,571.00","639,805.00","651,502.00","665,298.00","673,858.00","681,023.00","684,245.00","692,935.00","704,289.00","710,297.00","718,842.00","729,532.00","738,040.00","749,470.00","762,808.00","773,410.00","784,773.00","797,790.00","812,390.00","828,900.00","846,840.00","866,212.00","885,925.00","902,585.00","917,644.00","931,887.00","943,254.00","955,609.00","974,632.00","1,005,203.00","1,039,194.00","1,070,087.00","1,088,619.00","1,097,872.00","1,106,239.00","1,117,402.00","1,130,045.00","1,146,885.00","1,167,426.00","1,191,742.00","1,217,102.00"
SC-Charlotte Urban,35.2271,-80.8431,16740,"3,485.80","410,834.00","416,708.00","426,860.00","433,870.00","439,354.00","440,347.00","443,866.00","448,688.00","455,216.00","463,781.00","476,989.00","485,944.00","495,737.00","502,388.00","513,770.00","525,591.00","537,424.00","553,378.00","567,606.00","582,570.00","600,377.00","618,124.00","631,896.00","650,943.00","672,576.00","696,633.00","721,797.00","747,998.00","773,724.00","800,692.00","826,031.00","851,832.00","874,751.00","898,235.00","924,401.00","959,536.00","1,004,036.00","1,046,959.00","1,081,669.00","1,107,237.00","1,125,324.00","1,149,941.00","1,176,420.00","1,203,991.00","1,229,263.00","1,256,689.00","1,283,777.00","1,308,203.00"
FL-Orlando,28.5383,-81.3792,36740,"1,740.68","529,786.00","558,701.00","599,810.00","644,145.00","680,516.00","689,597.00","704,924.00","725,628.00","749,086.00","780,901.00","813,390.00","845,502.00","877,347.00","916,214.00","957,659.00","996,334.00","1,038,450.00","1,082,178.00","1,119,988.00","1,171,419.00","1,240,724.00","1,283,301.00","1,318,902.00","1,357,101.00","1,394,315.00","1,428,415.00","1,469,619.00","1,520,145.00","1,567,910.00","1,607,993.00","1,656,890.00","1,710,359.00","1,760,345.00","1,811,544.00","1,878,077.00","1,955,794.00","2,020,057.00","2,057,865.00","2,087,489.00","2,111,917.00","2,139,317.00","2,176,424.00","2,227,414.00","2,272,175.00","2,327,929.00","2,391,028.00","2,453,333.00","2,509,831.00"
FL-Orlando Suburban,28.5383,-81.3792,36740,202.4,"25,941.00","28,637.00","31,362.00","35,437.00","39,188.00","39,088.00","40,383.00","41,708.00","43,140.00","46,445.00","50,662.00","55,923.00","60,327.00","65,160.00","71,310.00","77,012.00","81,966.00","87,331.00","93,250.00","99,174.00","110,319.00","117,557.00","122,205.00","127,818.00","132,650.00","138,824.00","145,970.00","153,082.00","160,069.00","167,021.00","174,146.00","181,694.00","190,844.00","202,687.00","216,541.00","228,026.00","242,081.00","253,722.00","261,746.00","265,267.00","269,852.00","278,733.00","289,194.00","299,735.00","311,748.00","324,189.00","337,990.00","352,180.00"
FL-Orlando Urban,28.5383,-81.3792,36740,"2,253.43","503,845.00","530,064.00","568,448.00","608,708.00","641,328.00","650,509.00","664,541.00","683,920.00","705,946.00","734,456.00","762,728.00","789,579.00","817,020.00","851,054.00","886,349.00","919,322.00","956,484.00","994,847.00","1,026,738.00","1,072,245.00","1,130,405.00","1,165,744.00","1,196,697.00","1,229,283.00","1,261,665.00","1,289,591.00","1,323,649.00","1,367,063.00","1,407,841.00","1,440,972.00","1,482,744.00","1,528,665.00","1,569,501.00","1,608,857.00","1,661,536.00","1,727,768.00","1,777,976.00","1,804,143.00","1,825,743.00","1,846,650.00","1,869,465.00","1,897,691.00","1,938,220.00","1,972,440.00","2,016,181.00","2,066,839.00","2,115,343.00","2,157,651.00"
TX-San Antonio,29.4241,-98.4936,41700,351.55,"958,994.00","987,539.00","1,008,840.00","1,038,888.00","1,055,225.00","1,064,503.00","1,083,508.00","1,105,570.00","1,123,901.00","1,138,727.00","1,162,254.00","1,187,117.00","1,222,133.00","1,254,046.00","1,283,934.00","1,317,430.00","1,356,676.00","1,387,994.00","1,394,461.00","1,401,289.00","1,410,902.00","1,434,060.00","1,465,365.00","1,498,269.00","1,535,185.00","1,570,083.00","1,599,427.00","1,628,676.00","1,659,847.00","1,689,009.00","1,720,003.00","1,748,123.00","1,784,153.00","1,815,846.00","1,857,602.00","1,896,328.00","1,956,361.00","2,011,543.00","2,061,275.00","2,105,672.00","2,152,961.00","2,193,620.00","2,236,395.00","2,279,878.00","2,328,419.00","2,379,054.00","2,426,211.00","2,473,974.00"
TX-San Antonio Suburban,29.4241,-98.4936,41700,204.19,"122,319.00","125,975.00","132,213.00","139,331.00","142,231.00","145,159.00","148,262.00","152,514.00","156,528.00","161,606.00","166,883.00","170,259.00","175,680.00","182,337.00","189,122.00","195,342.00","203,054.00","210,410.00","215,805.00","219,992.00","223,127.00","228,043.00","233,622.00","242,785.00","254,490.00","266,391.00","277,564.00","288,441.00","299,941.00","310,321.00","321,169.00","329,103.00","337,398.00","346,223.00","356,683.00","367,058.00","382,426.00","396,333.00","409,566.00","420,044.00","430,164.00","438,496.00","448,151.00","458,628.00","470,784.00","484,243.00","498,464.00","515,396.00"
TX-San Antonio Urban,29.4241,-98.4936,41700,"1,383.10","836,675.00","861,564.00","876,627.00","899,557.00","912,994.00","919,344.00","935,246.00","953,056.00","967,373.00","977,121.00","995,371.00","1,016,858.00","1,046,453.00","1,071,709.00","1,094,812.00","1,122,088.00","1,153,622.00","1,177,584.00","1,178,656.00","1,181,297.00","1,187,775.00","1,206,017.00","1,231,743.00","1,255,484.00","1,280,695.00","1,303,692.00","1,321,863.00","1,340,235.00","1,359,906.00","1,378,688.00","1,398,834.00","1,419,020.00","1,446,755.00","1,469,623.00","1,500,919.00","1,529,270.00","1,573,935.00","1,615,210.00","1,651,709.00","1,685,628.00","1,722,797.00","1,755,124.00","1,788,244.00","1,821,250.00","1,857,635.00","1,894,811.00","1,927,747.00","1,958,578.00"
