Region,Lat,Long,CBSA Code,Pop Density,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
TX-Dallas Suburban,32.7767,-96.797,19100,309.52,"342,015.00","352,948.00","368,813.00","398,620.00","421,283.00","426,484.00","439,852.00","460,809.00","490,042.00","521,779.00","555,399.00","577,739.00","610,167.00","643,540.00","685,320.00","733,980.00","781,081.00","817,889.00","848,814.00","874,351.00","905,720.00","934,274.00","966,909.00","1,005,795.00","1,051,493.00","1,100,974.00","1,156,848.00","1,219,885.00","1,287,442.00","1,358,126.00","1,429,991.00","1,505,996.00","1,574,970.00","1,640,003.00","1,702,885.00","1,772,973.00","1,862,815.00","1,937,736.00","2,002,860.00","2,060,701.00","2,110,911.00","2,163,471.00","2,215,466.00","2,265,795.00","2,331,171.00","2,403,766.00","2,481,301.00","2,559,738.00"
TX-Dallas Urban,32.7767,-96.797,19100,"1,987.43","2,096,389.00","2,125,802.00","2,125,609.00","2,150,552.00","2,200,139.00","2,242,040.00","2,298,763.00","2,331,444.00","2,370,191.00","2,422,783.00","2,501,603.00","2,563,491.00","2,644,873.00","2,723,046.00","2,798,446.00","2,890,968.00","2,980,942.00","3,028,623.00","3,044,319.00","3,078,744.00","3,138,024.00","3,210,539.00","3,264,156.00","3,315,906.00","3,374,557.00","3,435,205.00","3,507,442.00","3,588,544.00","3,670,263.00","3,743,279.00","3,805,394.00","3,870,417.00","3,907,974.00","3,935,782.00","3,963,448.00","4,003,570.00","4,079,940.00","4,144,171.00","4,208,255.00","4,281,039.00","4,340,922.00","4,408,066.00","4,490,554.00","4,551,448.00","4,619,544.00","4,697,265.00","4,772,123.00","4,839,924.00"
TX-Houston,29.7604,-95.3698,26420,708.57,"2,211,060.00","2,274,946.00","2,333,119.00","2,401,819.00","2,479,906.00","2,587,562.00","2,696,160.00","2,800,461.00","2,915,424.00","3,032,581.00","3,171,543.00","3,309,378.00","3,504,928.00","3,605,395.00","3,622,641.00","3,628,585.00","3,668,133.00","3,626,057.00","3,615,287.00","3,670,096.00","3,775,620.00","3,884,885.00","3,989,770.00","4,075,564.00","4,153,355.00","4,227,574.00","4,314,589.00","4,407,210.00","4,513,913.00","4,622,857.00","4,717,507.00","4,817,815.00","4,937,081.00","5,036,393.00","5,132,602.00","5,233,729.00","5,423,615.00","5,540,882.00","5,676,381.00","5,826,108.00","5,947,419.00","6,057,947.00","6,183,726.00","6,329,553.00","6,496,862.00","6,664,187.00","6,798,010.00","6,892,427.00"
TX-Houston Suburban,29.7604,-95.3698,26420,285.21,"406,707.00","418,745.00","431,349.00","445,624.00","455,193.00","474,051.00","494,330.00","519,473.00","545,553.00","572,914.00","605,058.00","626,289.00","658,270.00","687,208.00","700,126.00","712,831.00","715,977.00","710,528.00","713,772.00","730,537.00","755,627.00","780,112.00","805,138.00","829,929.00","851,229.00","874,137.00","898,409.00","922,315.00","949,820.00","978,915.00","1,005,972.00","1,035,087.00","1,073,933.00","1,108,761.00","1,144,810.00","1,179,359.00","1,223,683.00","1,266,122.00","1,307,983.00","1,345,406.00","1,380,380.00","1,405,693.00","1,436,584.00","1,477,569.00","1,527,369.00","1,577,611.00","1,626,447.00","1,668,513.00"
TX-Houston Urban,29.7604,-95.3698,26420,"2,190.30","1,804,353.00","1,856,201.00","1,901,770.00","1,956,195.00","2,024,713.00","2,113,511.00","2,201,830.00","2,280,988.00","2,369,871.00","2,459,667.00","2,566,485.00","2,683,089.00","2,846,658.00","2,918,187.00","2,922,515.00","2,915,754.00","2,952,156.00","2,915,529.00","2,901,515.00","2,939,559.00","3,019,993.00","3,104,773.00","3,184,632.00","3,245,635.00","3,302,126.00","3,353,437.00","3,416,180.00","3,484,895.00","3,564,093.00","3,643,942.00","3,711,535.00","3,782,728.00","3,863,148.00","3,927,632.00","3,987,792.00","4,054,370.00","4,199,932.00","4,274,760.00","4,368,398.00","4,480,702.00","4,567,039.00","4,652,254.00","4,747,142.00","4,851,984.00","4,969,493.00","5,086,576.00","5,171,563.00","5,223,914.00"
MD-DC-VA,38.9072,-77.0369,47900,"2,610.65","3,178,124.00","3,228,453.00","3,297,980.00","3,317,554.00","3,329,117.00","3,354,926.00","3,374,218.00","3,382,190.00","3,411,446.00","3,418,606.00","3,440,935.00","3,501,304.00","3,543,652.00","3,595,896.00","3,672,392.00","3,752,824.00","3,846,466.00","3,947,707.00","4,045,698.00","4,121,544.00","4,173,328.00","4,235,129.00","4,300,061.00","4,362,043.00","4,422,005.00","4,476,203.00","4,536,908.00","4,602,056.00","4,672,330.00","4,763,645.00","4,863,388.00","4,970,350.00","5,055,829.00","5,124,633.00","5,199,870.00","5,273,577.00","5,318,889.00","5,372,905.00","5,445,083.00","5,547,895.00","5,665,822.00","5,776,374.00","5,872,266.00","5,962,487.00","6,029,555.00","6,091,497.00","6,150,537.00","6,215,895.00"
MD-DC-VA Suburban,38.9072,-77.0369,47900,385.53,"307,335.00","318,382.00","330,356.00","343,388.00","359,918.00","374,471.00","388,942.00","407,231.00","426,252.00","441,171.00","451,147.00","463,128.00","472,372.00","481,561.00","496,092.00","512,326.00","532,098.00","559,286.00","583,059.00","608,556.00","635,709.00","654,108.00","674,941.00","698,461.00","723,354.00","749,306.00","773,440.00","797,953.00","825,949.00","856,083.00","893,083.00","933,252.00","975,026.00","1,016,924.00","1,057,107.00","1,094,671.00","1,122,750.00","1,146,777.00","1,167,330.00","1,184,869.00","1,210,014.00","1,232,221.00","1,251,609.00","1,274,760.00","1,297,361.00","1,315,878.00","1,337,409.00","1,363,125.00"
MD-DC-VA Urban,38.9072,-77.0369,47900,"4,493.44","2,870,789.00","2,910,071.00","2,967,624.00","2,974,166.00","2,969,199.00","2,980,455.00","2,985,276.00","2,974,959.00","2,985,194.00","2,977,435.00","2,989,788.00","3,038,176.00","3,071,280.00","3,114,335.00","3,176,300.00","3,240,498.00","3,314,368.00","3,388,421.00","3,462,639.00","3,512,988.00","3,537,619.00","3,581,021.00","3,625,120.00","3,663,582.00","3,698,651.00","3,726,897.00","3,763,468.00","3,804,103.00","3,846,381.00","3,907,562.00","3,970,305.00","4,037,098.00","4,080,803.00","4,107,709.00","4,142,763.00","4,178,906.00","4,196,139.00","4,226,128.00","4,277,753.00","4,363,026.00","4,455,808.00","4,544,153.00","4,620,657.00","4,687,727.00","4,732,194.00","4,775,619.00","4,813,128.00","4,852,770.00"
PA-Philadelphia,39.9526,-75.1652,37980,"2,148.24","5,331,284.00","5,362,224.00","5,353,856.00","5,317,946.00","5,295,961.00","5,288,594.00","5,280,960.00","5,264,763.00","5,247,406.00","5,248,337.00","5,243,721.00","5,250,308.00","5,257,021.00","5,261,673.00","5,279,132.00","5,294,459.00","5,335,408.00","5,383,458.00","5,421,401.00","5,434,519.00","5,445,186.00","5,479,918.00","5,503,640.00","5,533,081.00","5,562,336.00","5,586,177.00","5,602,154.00","5,615,600.00","5,640,015.00","5,665,210.00","5,691,968.00","5,713,954.00","5,743,383.00","5,773,864.00","5,804,535.00","5,829,139.00","5,856,125.00","5,882,126.00","5,906,917.00","5,941,539.00","5,971,189.00","5,996,406.00","6,020,821.00","6,035,329.00","6,053,028.00","6,066,589.00","6,077,152.00","6,096,120.00"
PA-Philadelphia Suburban,39.9526,-75.1652,37980,522.6,"892,502.00","913,825.00","928,637.00","926,166.00","927,003.00","941,258.00","956,727.00","968,500.00","978,966.00","992,163.00","1,007,673.00","1,018,041.00","1,028,201.00","1,033,214.00","1,043,520.00","1,052,515.00","1,065,988.00","1,085,673.00","1,110,665.00","1,126,452.00","1,142,395.00","1,155,052.00","1,163,376.00","1,173,872.00","1,186,668.00","1,201,960.00","1,213,840.00","1,225,534.00","1,236,277.00","1,250,207.00","1,266,905.00","1,281,831.00","1,301,691.00","1,321,779.00","1,340,808.00","1,355,097.00","1,372,177.00","1,383,294.00","1,390,582.00","1,398,043.00","1,405,268.00","1,410,963.00","1,414,664.00","1,416,168.00","1,420,942.00","1,421,903.00","1,422,393.00","1,425,633.00"
