Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
MO-Kansas City Urban,39.0997,-94.5786,28140,"1,101.30",-0.08%,1.05%,1.60%,3.31%,1.85%,1.05%,2.20%,2.00%,1.21%,-4.00%,-1.26%,-0.87%,0.92%,0.75%,0.51%,0.42%,1.09%,-0.87%,-1.77%,4.04%,0.73%,1.31%,0.56%,2.42%,2.12%,1.33%,0.75%
TX-Austin Urban,30.2672,-97.7431,12420,"1,034.40",2.87%,5.74%,5.83%,5.51%,4.60%,2.29%,2.18%,3.26%,3.73%,5.34%,-1.12%,-2.32%,-0.42%,1.86%,2.58%,3.08%,3.17%,0.85%,-0.69%,5.06%,3.64%,4.03%,3.54%,3.02%,2.43%,3.94%,3.16%
OH-Cleveland Urban,41.4993,-81.6944,17460,"2,192.80",-1.13%,-0.51%,0.35%,1.48%,1.36%,0.81%,1.38%,0.51%,0.46%,-0.14%,-0.35%,-2.50%,-1.08%,-1.30%,-0.65%,0.21%,-0.17%,-1.80%,-5.18%,0.22%,-0.22%,0.23%,-0.39%,0.54%,0.01%,-0.02%,-0.33%
OH-Columbus Urban,39.9612,-82.9988,18140,"2,977.48",-0.11%,1.28%,0.91%,2.40%,2.24%,1.01%,2.43%,1.68%,2.31%,0.83%,1.64%,-0.16%,0.01%,0.43%,1.08%,2.53%,2.07%,-0.22%,-3.17%,0.12%,1.39%,1.70%,1.52%,2.84%,2.01%,1.39%,2.65%
IN-Indianapolis Urban,39.7684,-86.1581,26900,"1,655.35",-0.76%,1.14%,4.20%,4.37%,2.63%,0.36%,1.45%,1.02%,0.49%,1.14%,1.02%,0.34%,1.55%,-0.28%,1.04%,2.22%,0.77%,0.27%,-4.61%,-2.22%,1.85%,1.54%,2.32%,3.39%,3.27%,2.99%,1.13%
CA-San Jose Urban,37.3382,-121.8863,41940,"1,381.00",-3.01%,-0.58%,-0.04%,1.18%,2.40%,5.09%,4.95%,2.22%,0.75%,-1.76%,-2.32%,-8.76%,-4.81%,-0.63%,0.40%,1.65%,2.43%,1.58%,-4.19%,6.10%,2.69%,3.58%,2.96%,3.47%,2.88%,2.08%,1.95%
TN-Nashville Urban,36.1627,-86.7816,34980,"1,243.30",-2.04%,0.86%,3.89%,4.47%,2.39%,0.76%,0.52%,1.56%,0.38%,-0.52%,-0.93%,-1.17%,-1.07%,-1.04%,0.60%,3.81%,4.57%,-2.10%,-3.92%,6.84%,2.94%,2.39%,0.67%,1.56%,2.89%,4.25%,3.84%
VA-Virginia Beach Urban,36.8529,-75.978,47260,"2,657.77",1.29%,1.18%,-1.33%,0.38%,0.08%,-1.37%,0.93%,1.60%,-0.10%,0.47%,0.94%,0.85%,-0.02%,0.33%,1.27%,1.19%,1.91%,0.20%,-4.08%,2.66%,0.91%,0.36%,0.93%,0.61%,-0.98%,0.55%,1.73%
RI-Providence Urban,41.824,-71.4128,39300,"1,886.10",-3.44%,0.80%,1.14%,0.49%,0.04%,1.02%,2.30%,1.46%,0.77%,1.94%,-0.27%,1.11%,0.89%,0.15%,0.91%,1.13%,-0.17%,-2.30%,-3.56%,-0.56%,-0.15%,0.72%,0.75%,1.77%,1.57%,0.91%,1.48%
WI-Milwaukee Urban,43.0389,-87.9065,33340,"3,926.00",-2.15%,1.54%,0.80%,0.98%,1.00%,0.57%,0.70%,-0.78%,-1.11%,-1.35%,-1.49%,-2.27%,-0.87%,-0.80%,-1.00%,0.86%,3.14%,0.03%,-4.33%,1.26%,1.03%,0.50%,0.89%,1.57%,0.85%,1.01%,0.99%
